dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb
4/4/16,160404_164135atl,d781edc2-bb6d-4a07-8245-dd5e76b2634f,5,1,453286,542255,7,Flyout,B,61,2.96,1.11,-7.74,8.03,FT,0,0.836,L,0,0,R,gid_2016_04_04_wasmlb_atlmlb_1/,Ball,223.751,1.76757,1,was,0.074534396,-133.0614956,0.299990857,-7.96937444,8.038489609,-7.74,8.03,-3.249744295,55,5.491000473,3.361342746,-136.3623175,-0.795406441,-14.75900046,29.64400046,-17.29200069,93,-3.115697015,3.700934062,-3.1,3.67,2216,0
4/4/16,160404_164151atl,a77dce70-1f9d-4bb7-858a-a6ad6687f8b9,5,2,453286,542255,7,Flyout,S,62,2.97,1.19,-8.13,7.79,FF,10,0.749,L,0,1,R,gid_2016_04_04_wasmlb_atlmlb_1/,Called Strike,226.046,0.337079,1,was,0.073286403,-135.5109142,0.292842344,-8.34532128,7.793734582,-8.13,7.79,-3.245664719,55,5.341720642,8.556257783,-138.3214658,-3.874254772,-16.21899954,25.65400069,-17.03200046,94.53,-1.115772001,2.40380564,-1.1,2.38,2310,10
4/4/16,160404_164209atl,428871c3-e269-41dd-b73a-f99bd285ce71,5,3,453286,542255,7,Flyout,S,63,3.07,1.32,-8.33,6.61,FT,16,0.692,L,1,1,R,gid_2016_04_04_wasmlb_atlmlb_1/,Foul,231.382,-0.0171429,1,was,0.073687092,-134.7269509,0.294989477,-8.551684904,6.618823445,-8.33,6.61,-3.308543284,55,5.274943793,10.24500378,-137.6625269,-3.621165294,-16.37900034,26.65400069,-19.50199977,94.15,-0.502154478,2.207544026,-0.48,2.18,2162,11
4/4/16,160404_164230atl,4acd37be-e480-43c5-82e0-b0719554ccd2,5,4,453286,542255,7,Flyout,B,64,2.93,1.22,4.73,-1.67,SL,24,1.271,L,2,1,R,gid_2016_04_04_wasmlb_atlmlb_1/,Ball,71.0987,-3.81871,1,was,0.085840623,-115.7089178,0.342748573,4.363785074,-1.616242199,4.73,-1.67,-3.00071327,55,5.691249391,7.274934237,-118.0591957,-6.357227097,6.190999828,18.31400053,-34.47199908,80.76,1.11328271,-1.128414464,1.15,-1.19,875,12
4/4/16,160404_164257atl,43cbe5a0-ac48-45dc-81c3-53bb1b0cf48d,5,5,453286,542255,7,Flyout,X,65,3.07,1.32,-7.77,7.81,FT,18,0.621,L,2,2,R,gid_2016_04_04_wasmlb_atlmlb_1/,"In play, out(s)",224.667,0.00571429,1,was,0.073089391,-135.8465274,0.292392972,-7.986303769,7.816000301,-7.77,7.81,-3.270507083,55,5.227865893,12.02098433,-138.7530144,-4.05936704,-15.56899992,26.60399954,-16.94200031,95,0.301848999,2.230960945,0.32,2.2,2261,22
4/4/16,160404_164336atl,7df45b05-36cf-4bf1-a2fe-406d87e24a62,6,1,453286,430947,8,Groundout,S,69,3.16,1.5,-7.37,8.69,FF,17,0.666,L,0,0,R,gid_2016_04_04_wasmlb_atlmlb_1/,Foul,220.149,-0.240964,1,was,0.073486197,-135.0789481,0.294374251,-7.595762445,8.691790214,-7.37,8.69,-3.22517801,55,5.40866048,11.24894263,-138.0711492,-4.91005619,-14.60899989,27.24400084,-15.46199981,94.51,0.128259864,2.160928162,0.15,2.13,2320,0
4/4/16,160404_164356atl,7d92196c-6d03-4b9a-bfe5-ae54d977a94e,6,2,453286,430947,8,Groundout,B,70,3.28,1.5,-7.24,7.71,FF,19,0.847,L,1,0,R,gid_2016_04_04_wasmlb_atlmlb_1/,Ball,223.01,-0.719101,1,was,0.072623252,-136.7428949,0.290253373,-7.455355933,7.717195749,-7.24,7.71,-3.251776234,55,5.263707788,14.3380702,-139.5952696,-5.364192928,-14.74900023,26.27399962,-16.91199962,95.75,1.293508599,1.779450658,1.32,1.75,2190,1
4/4/16,160404_164415atl,a1f00279-e045-432e-a450-3bdc1b3e1700,6,3,453286,430947,8,Groundout,S,71,3.16,1.5,0.88,4.87,SL,23,1.233,L,1,1,R,gid_2016_04_04_wasmlb_atlmlb_1/,Swinging Strike,169.843,-0.915663,1,was,0.078255362,-126.9825399,0.311711255,0.595226084,4.889481689,0.88,4.87,-3.319600742,55,5.315860573,8.328422751,-129.387733,-3.55975345,1.02099999,20.55400031,-23.79200069,88.43,0.344850048,1.603135531,0.37,1.57,964,11
4/4/16,160404_164435atl,f7d55e1d-2c7d-4daf-b6d9-32e8f6d1ecbd,6,4,453286,430947,8,Groundout,S,72,3.16,1.5,-1.11,1.89,SL,23,1.205,L,2,1,R,gid_2016_04_04_wasmlb_atlmlb_1/,Foul,209.891,-1.12048,1,was,0.078568716,-126.4932417,0.312737093,-1.396061275,1.923032231,-1.11,1.89,-3.307788594,55,5.34349548,9.340604354,-128.8377281,-2.866965058,-2.378999986,19.95399992,-28.90199939,88.1,0.49063642,1.435209202,0.52,1.4,430,12
4/4/16,160404_164459atl,55093c84-0660-4b29-83ee-ceb5c210b01d,6,5,453286,430947,8,Groundout,B,73,3.24,1.5,-8.94,7.58,FT,5,0.701,L,2,1,R,gid_2016_04_04_wasmlb_atlmlb_1/,Ball,229.549,0.827586,1,was,0.07165897,-138.5787486,0.286445728,-9.141647376,7.580049601,-8.94,7.58,-3.243700483,55,5.190653443,7.596467739,-141.4821174,-1.976900118,-18.56899992,27.10399954,-16.78200046,96.61,-1.692105157,3.112923409,-1.68,3.09,2456,12
4/4/16,160404_164514atl,6ed99820-7148-4093-96d0-28e6abce3575,6,6,453286,430947,8,Groundout,X,74,3.16,1.5,2.81,-5.55,CU,20,0.905,L,2,2,R,gid_2016_04_04_wasmlb_atlmlb_1/,"In play, out(s)",27.0418,-1.77108,1,was,0.088291917,-112.5303007,0.351977522,2.431429329,-5.473130918,2.81,-5.55,-2.979627512,55,5.558369175,1.154977529,-114.7143782,-0.013050814,3.27099999,16.54400008,-39.54199878,78.22,-2.037518192,0.92075564,-2,0.86,1054,22
